2020-11-28 19:03:17.319 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:04:57.325 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:06:37.341 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:08:17.348 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:09:57.353 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:11:37.359 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:13:17.365 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:14:57.370 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:16:37.376 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:18:17.382 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:19:57.388 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:21:37.394 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:23:17.399 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:24:57.404 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:26:37.409 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:28:17.415 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:29:57.420 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:31:37.425 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:33:17.430 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:34:57.436 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:36:37.441 [configTaskScheduler-7] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:38:17.447 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:39:57.452 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:41:37.457 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:43:17.463 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:44:57.469 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:46:37.475 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:48:17.480 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:49:57.482 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:51:37.488 [configTaskScheduler-10] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 19:53:07.349 [XNIO-1 task-1] [INFO ] [io.undertow.servlet] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-28 19:53:07.351 [XNIO-1 task-1] [INFO ] [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2020-11-28 19:53:07.355 [XNIO-1 task-1] [INFO ] [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 3 ms
2020-11-28 19:53:07.513 [XNIO-1 task-1] [INFO ] [com.example.demo.aop.AuditAspect] - receive POST request on uri /api/v1/users/1 to create_user
